year,month,country,student_ai_usage_pct,teacher_ai_usage_pct,schools_ai_adoption_pct,avg_daily_ai_usage_min,top_ai_tool,internet_penetration_pct,education_index,government_ai_policy,urban_ai_usage_pct,rural_ai_usage_pct,ai_in_curriculum,gender_gap_ai_usage_pct
2015,July,China,7,3,5,15,Microsoft Copilot,70,0.75,Active,10,0,Yes,4
2015,July,India,7,8,0,15,Khanmigo,50,0.64,Active,8,0,No,4
2015,July,Germany,6,8,1,52,Microsoft Copilot,93,0.94,Draft,10,0,Yes,9
2015,July,Brazil,1,7,4,22,Google Gemini,75,0.7,Draft,1,0,Yes,10
2015,July,Pakistan,4,2,4,15,Google Gemini,45,0.55,Active,7,0,No,10
2015,July,Nigeria,4,0,0,48,Google Gemini,42,0.52,Unknown,6,0,No,4
2015,July,Canada,7,3,5,5,ChatGPT,94,0.92,Unknown,11,0,Yes,2
2015,July,Australia,2,3,4,60,Khanmigo,96,0.93,Unknown,3,0,Yes,6
2015,August,US,0,2,0,21,Khanmigo,90,0.9,Draft,3,0,No,1
2015,August,UK,8,4,2,58,Google Gemini,92,0.91,Active,13,0,Yes,5
2015,August,China,3,6,1,37,Microsoft Copilot,70,0.75,Draft,7,0,Yes,2
2015,August,India,6,3,6,55,Google Gemini,50,0.64,Draft,9,0,No,8
2015,August,Germany,8,1,4,47,ChatGPT,93,0.94,Active,8,1,No,7
2015,August,Brazil,3,4,5,27,Google Gemini,75,0.7,Unknown,5,0,No,1
2015,August,Pakistan,5,0,0,16,Khanmigo,45,0.55,Unknown,8,0,Yes,9
2015,August,Nigeria,8,3,2,50,ChatGPT,42,0.52,Draft,13,0,No,3
2015,August,Canada,10,6,6,31,ChatGPT,94,0.92,Active,14,0,No,7
2015,August,Australia,2,5,7,8,Microsoft Copilot,96,0.93,Active,2,0,Yes,3
2015,September,US,9,8,1,53,Khanmigo,90,0.9,Active,11,0,No,5
2015,September,UK,0,2,2,6,Khanmigo,92,0.91,Active,0,0,Yes,1
2015,September,China,10,6,6,52,Google Gemini,70,0.75,Active,12,0,No,10
2015,September,India,9,3,2,49,Microsoft Copilot,50,0.64,Draft,14,2,Yes,9
2015,September,Germany,7,3,5,27,Microsoft Copilot,93,0.94,Active,12,1,Yes,10
2015,September,Brazil,2,1,5,24,ChatGPT,75,0.7,Unknown,5,0,Yes,9
2015,September,Pakistan,3,2,0,45,ChatGPT,45,0.55,Active,8,0,No,5
2015,September,Nigeria,8,1,1,40,Google Gemini,42,0.52,Unknown,11,3,Yes,4
2015,September,Canada,3,5,1,8,Google Gemini,94,0.92,Draft,8,0,No,2
2015,September,Australia,10,1,0,52,Khanmigo,96,0.93,Draft,15,2,No,4
2015,October,US,5,6,7,54,Microsoft Copilot,90,0.9,Active,10,0,No,4
2015,October,UK,4,5,1,19,Khanmigo,92,0.91,Active,4,0,Yes,8
2015,October,China,2,4,2,21,Google Gemini,70,0.75,Unknown,5,0,No,4
2015,October,India,4,2,7,12,Google Gemini,50,0.64,Draft,7,0,No,8
2015,October,Germany,5,5,5,12,Google Gemini,93,0.94,Active,10,0,No,6
2015,October,Brazil,5,6,4,10,ChatGPT,75,0.7,Active,8,0,Yes,6
2015,October,Pakistan,0,5,7,40,Microsoft Copilot,45,0.55,Draft,0,0,No,8
2015,October,Nigeria,9,5,4,51,Microsoft Copilot,42,0.52,Draft,10,4,Yes,5
2015,October,Canada,9,3,7,18,ChatGPT,94,0.92,Unknown,14,0,No,3
2015,October,Australia,8,5,0,45,Khanmigo,96,0.93,Unknown,9,0,No,4
2015,November,US,6,5,2,23,Microsoft Copilot,90,0.9,Draft,10,0,No,3
2015,November,UK,10,0,3,20,Khanmigo,92,0.91,Draft,15,0,Yes,2
2015,November,China,4,1,2,45,Microsoft Copilot,70,0.75,Draft,6,0,No,5
2015,November,India,6,3,0,16,Microsoft Copilot,50,0.64,Draft,8,0,Yes,6
2015,November,Germany,4,7,0,17,Google Gemini,93,0.94,Unknown,5,0,Yes,9
2015,November,Brazil,5,2,0,10,Google Gemini,75,0.7,Active,9,0,Yes,7
2015,November,Pakistan,6,2,5,27,Khanmigo,45,0.55,Active,10,0,No,1
2015,November,Nigeria,10,3,4,6,ChatGPT,42,0.52,Active,14,0,Yes,5
2015,November,Canada,8,4,0,48,Google Gemini,94,0.92,Draft,13,0,No,9
2015,November,Australia,9,4,1,41,ChatGPT,96,0.93,Unknown,14,0,No,2
2015,December,US,5,1,4,49,Khanmigo,90,0.9,Unknown,9,0,Yes,10
2015,December,UK,3,1,6,14,ChatGPT,92,0.91,Draft,4,0,Yes,3
2015,December,China,0,0,6,25,Google Gemini,70,0.75,Unknown,2,0,Yes,4
2015,December,India,3,3,6,32,Google Gemini,50,0.64,Unknown,6,0,No,6
2015,December,Germany,2,1,6,16,ChatGPT,93,0.94,Active,5,0,No,4
2015,December,Brazil,5,6,7,24,Khanmigo,75,0.7,Active,10,0,No,7
2015,December,Pakistan,10,8,0,33,ChatGPT,45,0.55,Unknown,14,0,Yes,10
2015,December,Nigeria,9,8,1,28,Google Gemini,42,0.52,Unknown,10,0,No,9
2015,December,Canada,9,7,5,55,Microsoft Copilot,94,0.92,Active,11,0,No,8
2015,December,Australia,5,5,4,38,Google Gemini,96,0.93,Active,9,0,No,1
2016,January,US,15,9,8,57,Microsoft Copilot,90,0.9,Active,18,10,No,6
2016,January,UK,13,12,8,59,Microsoft Copilot,92,0.91,Active,18,6,Yes,1
2016,January,China,15,7,11,50,ChatGPT,70,0.75,Draft,16,4,No,8
2016,January,India,10,8,6,50,Google Gemini,50,0.64,Active,11,5,No,10
2016,January,Germany,14,11,8,53,ChatGPT,93,0.94,Draft,15,8,No,4
2016,January,Brazil,13,6,10,25,ChatGPT,75,0.7,Unknown,14,8,Yes,2
2016,January,Pakistan,14,8,5,56,Microsoft Copilot,45,0.55,Draft,16,0,No,1
2016,January,Nigeria,5,6,12,25,Google Gemini,42,0.52,Draft,6,0,Yes,2
2016,January,Canada,6,10,5,34,ChatGPT,94,0.92,Active,7,1,Yes,8
2016,January,Australia,11,7,10,34,Google Gemini,96,0.93,Active,16,0,Yes,5
2016,February,US,14,8,12,28,ChatGPT,90,0.9,Unknown,18,4,Yes,9
2016,February,UK,12,13,10,56,Microsoft Copilot,92,0.91,Active,12,0,Yes,4
2016,February,China,15,8,6,53,Google Gemini,70,0.75,Unknown,17,0,Yes,6
2016,February,India,11,13,9,10,ChatGPT,50,0.64,Unknown,13,3,No,4
2016,February,Germany,15,11,9,31,ChatGPT,93,0.94,Unknown,20,5,Yes,1
2016,February,Brazil,15,12,6,14,Khanmigo,75,0.7,Unknown,16,4,Yes,9
2016,February,Pakistan,14,8,8,26,Khanmigo,45,0.55,Unknown,16,7,No,8
2016,February,Nigeria,13,8,6,25,Google Gemini,42,0.52,Active,13,4,Yes,6
2016,February,Canada,9,8,5,38,Google Gemini,94,0.92,Active,13,1,Yes,8
2016,February,Australia,11,8,9,57,Khanmigo,96,0.93,Draft,14,0,No,6
2016,March,US,5,13,12,38,ChatGPT,90,0.9,Unknown,9,0,No,5
2016,March,UK,8,13,8,21,Google Gemini,92,0.91,Unknown,9,0,Yes,7
2016,March,China,15,8,11,20,Google Gemini,70,0.75,Active,16,9,No,2
2016,March,India,11,6,5,53,Khanmigo,50,0.64,Draft,11,0,No,6
2016,March,Germany,14,13,11,43,Khanmigo,93,0.94,Active,14,5,Yes,5
2016,March,Brazil,11,10,6,49,Microsoft Copilot,75,0.7,Unknown,14,2,No,6
2016,March,Pakistan,6,5,9,40,Khanmigo,45,0.55,Unknown,7,0,Yes,9
2016,March,Nigeria,7,8,9,54,Google Gemini,42,0.52,Unknown,10,0,No,8
2016,March,Canada,5,7,7,5,Microsoft Copilot,94,0.92,Active,10,0,Yes,5
2016,March,Australia,14,7,5,39,Khanmigo,96,0.93,Draft,18,8,No,7
2016,April,US,12,10,5,15,Microsoft Copilot,90,0.9,Unknown,17,7,Yes,7
2016,April,UK,12,9,9,29,Google Gemini,92,0.91,Unknown,17,5,No,6
2016,April,China,7,12,9,32,Microsoft Copilot,70,0.75,Active,12,0,Yes,7
2016,April,India,15,5,6,12,ChatGPT,50,0.64,Draft,19,2,No,1
2016,April,Germany,11,10,10,14,ChatGPT,93,0.94,Unknown,16,3,Yes,8
2016,April,Brazil,11,11,8,55,Khanmigo,75,0.7,Unknown,16,1,No,1
2016,April,Pakistan,14,7,11,34,Khanmigo,45,0.55,Active,17,9,No,5
2016,April,Nigeria,10,5,12,32,Khanmigo,42,0.52,Active,12,0,No,8
2016,April,Canada,11,10,6,34,ChatGPT,94,0.92,Active,13,5,No,7
2016,April,Australia,9,8,8,51,Microsoft Copilot,96,0.93,Unknown,10,0,Yes,6
2016,May,US,8,11,11,21,ChatGPT,90,0.9,Active,13,0,No,4
2016,May,UK,7,12,6,45,ChatGPT,92,0.91,Active,7,2,Yes,6
2016,May,China,5,10,8,12,Khanmigo,70,0.75,Draft,9,0,Yes,9
2016,May,India,13,11,7,37,ChatGPT,50,0.64,Draft,18,6,No,10
2016,May,Germany,7,6,9,20,Microsoft Copilot,93,0.94,Unknown,8,0,Yes,8
2016,May,Brazil,9,8,9,7,ChatGPT,75,0.7,Unknown,12,0,No,2
2016,May,Pakistan,14,13,8,41,ChatGPT,45,0.55,Active,19,2,Yes,1
2016,May,Nigeria,7,6,8,14,ChatGPT,42,0.52,Draft,11,2,Yes,9
2016,May,Canada,15,10,5,34,Microsoft Copilot,94,0.92,Draft,15,0,No,9
2016,May,Australia,11,10,8,48,ChatGPT,96,0.93,Active,16,1,No,10
2016,June,US,8,13,7,42,Khanmigo,90,0.9,Draft,10,0,No,4
2016,June,UK,8,6,9,30,Google Gemini,92,0.91,Draft,12,0,No,8
2016,June,China,13,6,7,43,Microsoft Copilot,70,0.75,Active,18,0,No,5
2016,June,India,13,6,10,17,Google Gemini,50,0.64,Unknown,18,0,Yes,9
2016,June,Germany,13,9,7,29,ChatGPT,93,0.94,Unknown,13,2,No,7
2016,June,Brazil,9,7,10,49,Google Gemini,75,0.7,Active,10,0,No,1
2016,June,Pakistan,10,13,12,24,Microsoft Copilot,45,0.55,Active,11,2,Yes,3
2016,June,Nigeria,12,9,12,40,Google Gemini,42,0.52,Unknown,13,2,No,1
2016,June,Canada,15,9,11,49,Khanmigo,94,0.92,Unknown,15,0,Yes,7
2016,June,Australia,10,10,9,29,ChatGPT,96,0.93,Unknown,14,1,No,9
2016,July,US,15,13,11,46,ChatGPT,90,0.9,Active,16,6,No,4
2016,July,UK,15,10,8,45,Microsoft Copilot,92,0.91,Active,19,0,No,9
2016,July,China,13,5,7,43,Google Gemini,70,0.75,Draft,15,6,No,5
2016,July,India,9,12,9,22,Khanmigo,50,0.64,Unknown,11,0,Yes,4
2016,July,Germany,7,12,10,49,Microsoft Copilot,93,0.94,Active,12,0,Yes,1
2016,July,Brazil,12,13,10,41,ChatGPT,75,0.7,Active,14,7,No,4
2016,July,Pakistan,15,11,5,27,Microsoft Copilot,45,0.55,Draft,20,4,Yes,9
2016,July,Nigeria,6,5,11,40,ChatGPT,42,0.52,Unknown,8,0,No,5
2016,July,Canada,15,12,8,31,ChatGPT,94,0.92,Active,18,1,No,9
2016,July,Australia,15,6,12,16,Khanmigo,96,0.93,Active,20,5,Yes,5
2016,August,US,11,7,10,7,Google Gemini,90,0.9,Unknown,16,5,Yes,5
2016,August,UK,12,12,12,59,ChatGPT,92,0.91,Active,14,0,No,1
2016,August,China,14,13,5,40,Microsoft Copilot,70,0.75,Unknown,18,4,Yes,7
2016,August,India,6,5,8,51,Khanmigo,50,0.64,Active,6,1,Yes,8
2016,August,Germany,12,7,11,20,Khanmigo,93,0.94,Active,14,7,Yes,6
2016,August,Brazil,15,9,6,31,ChatGPT,75,0.7,Draft,18,0,Yes,2
2016,August,Pakistan,7,12,6,24,Google Gemini,45,0.55,Draft,9,0,No,9
2016,August,Nigeria,5,12,9,21,ChatGPT,42,0.52,Active,6,0,Yes,1
2016,August,Canada,10,11,12,30,Microsoft Copilot,94,0.92,Draft,10,4,Yes,9
2016,August,Australia,6,6,7,51,Khanmigo,96,0.93,Unknown,8,1,Yes,2
2016,September,US,9,5,6,50,Google Gemini,90,0.9,Draft,11,1,No,6
2016,September,UK,14,7,11,12,ChatGPT,92,0.91,Active,16,4,No,5
2016,September,China,5,9,11,50,Google Gemini,70,0.75,Unknown,9,0,Yes,4
2016,September,India,15,10,11,49,Google Gemini,50,0.64,Draft,17,3,No,3
2016,September,Germany,9,7,10,52,ChatGPT,93,0.94,Active,14,4,Yes,9
2016,September,Brazil,5,10,6,26,Khanmigo,75,0.7,Draft,5,0,Yes,7
2016,September,Pakistan,9,11,12,18,Microsoft Copilot,45,0.55,Draft,11,1,Yes,8
2016,September,Nigeria,8,7,9,27,Microsoft Copilot,42,0.52,Unknown,12,0,No,10
2016,September,Canada,10,12,9,7,ChatGPT,94,0.92,Active,12,5,No,5
2016,September,Australia,11,9,11,35,ChatGPT,96,0.93,Draft,11,4,Yes,5
2016,October,US,8,12,11,17,Khanmigo,90,0.9,Draft,12,2,Yes,7
2016,October,UK,7,7,10,27,ChatGPT,92,0.91,Active,10,0,Yes,1
2016,October,China,13,10,5,43,ChatGPT,70,0.75,Unknown,16,0,No,10
2016,October,India,7,12,6,29,Google Gemini,50,0.64,Draft,11,0,Yes,10
2016,October,Germany,12,10,7,51,Khanmigo,93,0.94,Active,15,0,Yes,5
2016,October,Brazil,11,6,7,58,Google Gemini,75,0.7,Active,12,3,Yes,7
2016,October,Pakistan,14,10,6,57,ChatGPT,45,0.55,Unknown,14,0,Yes,2
2016,October,Nigeria,13,8,9,59,Google Gemini,42,0.52,Active,16,1,Yes,7
2016,October,Canada,13,8,12,44,Google Gemini,94,0.92,Active,16,1,Yes,6
2016,October,Australia,13,12,5,26,Khanmigo,96,0.93,Unknown,15,4,Yes,1
2016,November,US,5,11,6,34,Khanmigo,90,0.9,Draft,5,0,Yes,2
2016,November,UK,9,13,7,21,Microsoft Copilot,92,0.91,Active,9,0,Yes,1
2016,November,China,6,6,11,30,ChatGPT,70,0.75,Active,9,0,Yes,3
2016,November,India,8,5,11,41,ChatGPT,50,0.64,Unknown,11,0,Yes,6
2016,November,Germany,14,11,12,23,Google Gemini,93,0.94,Active,17,3,No,1
2016,November,Brazil,7,8,12,48,Khanmigo,75,0.7,Draft,12,0,Yes,2
2016,November,Pakistan,6,9,8,36,ChatGPT,45,0.55,Draft,10,0,No,7
2016,November,Nigeria,15,12,9,14,Google Gemini,42,0.52,Draft,20,10,No,2
2016,November,Canada,7,6,9,5,Khanmigo,94,0.92,Unknown,8,2,No,6
2016,November,Australia,10,10,12,49,Google Gemini,96,0.93,Unknown,14,0,No,1
2016,December,US,9,12,12,30,ChatGPT,90,0.9,Draft,13,0,No,5
2016,December,UK,5,5,6,13,Microsoft Copilot,92,0.91,Unknown,10,0,No,5
2016,December,China,11,9,8,36,Khanmigo,70,0.75,Active,12,6,No,6
2016,December,India,7,10,12,44,Microsoft Copilot,50,0.64,Active,11,0,Yes,3
2016,December,Germany,7,12,8,57,ChatGPT,93,0.94,Draft,9,0,No,5
2016,December,Brazil,5,12,9,53,ChatGPT,75,0.7,Active,10,0,Yes,1
2016,December,Pakistan,8,11,10,27,Khanmigo,45,0.55,Unknown,11,1,Yes,8
2016,December,Nigeria,8,10,5,28,Khanmigo,42,0.52,Active,8,0,Yes,10
2016,December,Canada,7,12,9,39,Microsoft Copilot,94,0.92,Draft,9,0,Yes,10
2016,December,Australia,9,5,6,37,Google Gemini,96,0.93,Active,11,4,No,2
2017,January,US,11,10,11,24,ChatGPT,90,0.9,Unknown,16,5,Yes,8
2017,January,UK,11,12,10,37,Microsoft Copilot,92,0.91,Unknown,11,0,No,8
2017,January,China,16,17,15,9,Khanmigo,70,0.75,Unknown,17,3,Yes,6
2017,January,India,18,13,17,51,Microsoft Copilot,50,0.64,Unknown,20,10,No,8
2017,January,Germany,15,18,11,11,Microsoft Copilot,93,0.94,Unknown,20,8,Yes,1
2017,January,Brazil,13,11,14,49,Khanmigo,75,0.7,Active,17,3,Yes,10
2017,January,Pakistan,16,12,17,60,Khanmigo,45,0.55,Draft,21,9,Yes,10
2017,January,Nigeria,19,11,16,27,ChatGPT,42,0.52,Draft,21,13,Yes,3
2017,January,Canada,16,13,15,49,Microsoft Copilot,94,0.92,Draft,20,2,Yes,5
2017,January,Australia,17,14,12,6,Google Gemini,96,0.93,Unknown,20,2,No,2
2017,February,US,20,17,12,52,ChatGPT,90,0.9,Draft,21,8,No,1
2017,February,UK,14,10,10,26,ChatGPT,92,0.91,Unknown,14,3,Yes,1
2017,February,China,16,14,14,31,Khanmigo,70,0.75,Active,17,7,No,1
2017,February,India,11,18,12,35,Microsoft Copilot,50,0.64,Draft,11,0,No,9
2017,February,Germany,17,17,11,46,ChatGPT,93,0.94,Active,20,2,Yes,3
2017,February,Brazil,11,11,14,32,Google Gemini,75,0.7,Draft,14,0,No,5
2017,February,Pakistan,20,18,10,12,Khanmigo,45,0.55,Unknown,24,6,No,5
2017,February,Nigeria,16,15,11,27,Microsoft Copilot,42,0.52,Active,17,8,Yes,2
2017,February,Canada,13,16,16,47,ChatGPT,94,0.92,Active,18,0,No,3
2017,February,Australia,19,12,14,31,Khanmigo,96,0.93,Active,20,13,Yes,1
2017,March,US,17,15,10,42,Microsoft Copilot,90,0.9,Active,20,11,Yes,2
2017,March,UK,20,11,14,41,Khanmigo,92,0.91,Active,21,8,Yes,3
2017,March,China,15,18,13,34,ChatGPT,70,0.75,Active,18,0,No,10
2017,March,India,17,12,16,26,Microsoft Copilot,50,0.64,Unknown,19,3,Yes,5
2017,March,Germany,14,10,14,39,Khanmigo,93,0.94,Unknown,18,3,No,7
2017,March,Brazil,20,13,11,34,ChatGPT,75,0.7,Draft,24,9,Yes,5
2017,March,Pakistan,17,17,11,47,ChatGPT,45,0.55,Active,18,5,No,2
2017,March,Nigeria,11,12,16,37,ChatGPT,42,0.52,Active,15,1,No,10
2017,March,Canada,12,17,13,21,Microsoft Copilot,94,0.92,Unknown,14,0,No,5
2017,March,Australia,12,18,12,34,ChatGPT,96,0.93,Draft,17,0,Yes,2
2017,April,US,20,14,11,36,Khanmigo,90,0.9,Active,20,8,Yes,8
2017,April,UK,19,11,13,51,ChatGPT,92,0.91,Draft,20,13,Yes,6
2017,April,China,12,12,16,33,ChatGPT,70,0.75,Unknown,13,4,No,5
2017,April,India,19,10,17,56,ChatGPT,50,0.64,Draft,21,8,Yes,10
2017,April,Germany,13,18,16,8,ChatGPT,93,0.94,Active,18,0,No,7
2017,April,Brazil,18,14,17,60,Khanmigo,75,0.7,Unknown,22,9,Yes,2
2017,April,Pakistan,13,18,14,19,Google Gemini,45,0.55,Unknown,13,6,Yes,9
2017,April,Nigeria,10,13,12,20,Google Gemini,42,0.52,Unknown,15,0,No,2
2017,April,Canada,12,16,11,13,ChatGPT,94,0.92,Unknown,15,7,Yes,3
2017,April,Australia,14,14,13,32,ChatGPT,96,0.93,Draft,17,1,No,2
2017,May,US,12,15,14,29,Khanmigo,90,0.9,Unknown,14,0,Yes,2
2017,May,UK,19,14,16,11,ChatGPT,92,0.91,Unknown,21,8,Yes,5
2017,May,China,18,16,15,30,Khanmigo,70,0.75,Draft,23,3,Yes,9
2017,May,India,19,16,12,32,Microsoft Copilot,50,0.64,Draft,22,14,Yes,1
2017,May,Germany,18,13,15,7,ChatGPT,93,0.94,Unknown,22,8,No,3
2017,May,Brazil,10,12,10,11,Microsoft Copilot,75,0.7,Unknown,13,1,Yes,5
2017,May,Pakistan,19,16,14,10,Khanmigo,45,0.55,Active,22,8,Yes,2
2017,May,Nigeria,13,13,13,45,ChatGPT,42,0.52,Draft,18,3,Yes,6
2017,May,Canada,19,12,17,39,Google Gemini,94,0.92,Unknown,21,13,No,8
2017,May,Australia,11,15,15,59,Khanmigo,96,0.93,Unknown,13,0,Yes,5
2017,June,US,19,12,13,38,Google Gemini,90,0.9,Draft,24,12,Yes,2
2017,June,UK,14,10,16,53,Khanmigo,92,0.91,Unknown,18,4,Yes,2
2017,June,China,11,15,13,11,Microsoft Copilot,70,0.75,Active,11,5,Yes,1
2017,June,India,15,10,11,49,ChatGPT,50,0.64,Active,17,8,No,8
2017,June,Germany,18,15,10,8,Microsoft Copilot,93,0.94,Unknown,19,10,Yes,10
2017,June,Brazil,14,15,12,34,ChatGPT,75,0.7,Active,18,6,No,4
2017,June,Pakistan,14,16,13,36,Khanmigo,45,0.55,Unknown,17,8,No,2
2017,June,Nigeria,18,10,10,52,ChatGPT,42,0.52,Active,23,12,No,9
2017,June,Canada,18,13,11,60,Google Gemini,94,0.92,Unknown,23,4,No,6
2017,June,Australia,11,18,13,20,Khanmigo,96,0.93,Active,15,2,Yes,2
2017,July,US,18,17,12,5,Khanmigo,90,0.9,Unknown,18,10,Yes,2
2017,July,UK,10,16,10,18,Google Gemini,92,0.91,Draft,11,0,No,6
2017,July,China,12,14,10,55,ChatGPT,70,0.75,Unknown,13,0,Yes,9
2017,July,India,14,14,13,25,Microsoft Copilot,50,0.64,Active,19,9,Yes,4
2017,July,Germany,17,14,16,41,Microsoft Copilot,93,0.94,Draft,21,7,No,2
2017,July,Brazil,11,13,13,37,Microsoft Copilot,75,0.7,Active,14,0,No,10
2017,July,Pakistan,10,17,12,15,ChatGPT,45,0.55,Unknown,11,0,Yes,3
2017,July,Nigeria,20,12,15,57,Microsoft Copilot,42,0.52,Active,25,14,No,4
2017,July,Canada,12,13,16,54,Khanmigo,94,0.92,Unknown,13,2,No,7
2017,July,Australia,19,15,16,7,Google Gemini,96,0.93,Unknown,21,7,Yes,4
2017,August,US,19,16,13,21,ChatGPT,90,0.9,Active,21,11,Yes,1
2017,August,UK,10,11,17,8,ChatGPT,92,0.91,Draft,10,0,No,6
2017,August,China,11,12,12,43,ChatGPT,70,0.75,Active,13,5,Yes,9
2017,August,India,12,14,12,29,Khanmigo,50,0.64,Draft,15,5,No,7
2017,August,Germany,20,18,13,23,ChatGPT,93,0.94,Active,25,10,Yes,10
